shape_id,route_id,direction_id,stop_sequence,segment_id,stop_id,end_stop_id,speed,trip_id,arrival_time,departure_time,latitude,longitude,congestion_level
025e3cd3-af74-42bc-89a7-cc35ee83bd10,db26052a-916e-4235-9caa-0a364b781f39,0,52,1f89c701-ab93-481f-96e1-63f532bebea6 - f1375909-b390-4e61-a1d7-f46809a75e7a,1f89c701-ab93-481f-96e1-63f532bebea6,f1375909-b390-4e61-a1d7-f46809a75e7a,1135,116d6c10-f237-4544-bc00-3c3532b98fbe,05:44:54,05:44:54,44.3605720615728,-79.632372387193,0
1367bd0e-b38f-442d-8c9d-6c07d22eb8fd,323165ef-99ee-4955-801e-553bcb415229,0,2,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8 - b64abe1c-2622-45d1-a112-f363f75ff0df,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8,b64abe1c-2622-45d1-a112-f363f75ff0df,8,f4d43067-73dd-4455-9372-9ed15714c203,11:00:00,11:00:00,44.40999837,-79.67387444,4
1367bd0e-b38f-442d-8c9d-6c07d22eb8fd,323165ef-99ee-4955-801e-553bcb415229,0,2,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8 - b64abe1c-2622-45d1-a112-f363f75ff0df,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8,b64abe1c-2622-45d1-a112-f363f75ff0df,8,a0d0f472-9662-42da-ad3e-535a36cbc193,08:30:00,08:30:00,44.40999837,-79.67387444,4
1367bd0e-b38f-442d-8c9d-6c07d22eb8fd,323165ef-99ee-4955-801e-553bcb415229,0,2,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8 - b64abe1c-2622-45d1-a112-f363f75ff0df,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8,b64abe1c-2622-45d1-a112-f363f75ff0df,8,d08b2c38-ca3c-46e2-97de-944a1a7fefb7,09:00:00,09:01:00,44.40999837,-79.67387444,4
1367bd0e-b38f-442d-8c9d-6c07d22eb8fd,323165ef-99ee-4955-801e-553bcb415229,0,2,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8 - b64abe1c-2622-45d1-a112-f363f75ff0df,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8,b64abe1c-2622-45d1-a112-f363f75ff0df,8,0ac8dd20-cc5d-4de4-9899-88b712402ec6,16:59:00,17:01:00,44.40999837,-79.67387444,4
1367bd0e-b38f-442d-8c9d-6c07d22eb8fd,323165ef-99ee-4955-801e-553bcb415229,0,2,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8 - b64abe1c-2622-45d1-a112-f363f75ff0df,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8,b64abe1c-2622-45d1-a112-f363f75ff0df,8,f40547d9-5f2d-4909-8f52-0dd686995c53,12:30:00,12:31:00,44.40999837,-79.67387444,4
1367bd0e-b38f-442d-8c9d-6c07d22eb8fd,323165ef-99ee-4955-801e-553bcb415229,0,2,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8 - b64abe1c-2622-45d1-a112-f363f75ff0df,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8,b64abe1c-2622-45d1-a112-f363f75ff0df,8,a5fb390e-a144-47db-ad91-6f7d4d9162ae,07:00:00,07:01:00,44.40999837,-79.67387444,4
1367bd0e-b38f-442d-8c9d-6c07d22eb8fd,323165ef-99ee-4955-801e-553bcb415229,0,2,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8 - b64abe1c-2622-45d1-a112-f363f75ff0df,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8,b64abe1c-2622-45d1-a112-f363f75ff0df,8,6541240c-cd75-4ac4-819a-8ab1ae3fc7a4,17:00:00,17:00:00,44.40999837,-79.67387444,4
1367bd0e-b38f-442d-8c9d-6c07d22eb8fd,323165ef-99ee-4955-801e-553bcb415229,0,2,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8 - b64abe1c-2622-45d1-a112-f363f75ff0df,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8,b64abe1c-2622-45d1-a112-f363f75ff0df,8,e85a9f26-163a-4a56-871c-5483be7aaece,10:30:00,10:30:00,44.40999837,-79.67387444,4
1367bd0e-b38f-442d-8c9d-6c07d22eb8fd,323165ef-99ee-4955-801e-553bcb415229,0,2,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8 - b64abe1c-2622-45d1-a112-f363f75ff0df,584e20fe-2acf-4ca6-972d-5e2f9fd1bdf8,b64abe1c-2622-45d1-a112-f363f75ff0df,8,5f916438-a84a-4f96-99be-2d2761a4351f,07:30:00,07:30:00,44.40999837,-79.67387444,4
