route_id,route_name,direction_id,stop_sequence,segment_name,window,speed_kmh,avg_route_speed_kmh,segment_max_speed_kmh,runtime_sec,start_stop_name,end_stop_name,segment_id,start_stop_id,end_stop_id,shape_id,distance_m,geometry
1615e5c0-3157-4f13-9e78-011638725e02,8A RVH/YONGE,0,38,Wal-Mart Plaza - Gloria Street,22:00-24:00,12.0,370.0,12.0,65.0,Wal-Mart Plaza,Gloria Street,1957c8b6-05f9-48d0-9e06-69f66400e770 - 59ccd692-9fb1-4245-8cbd-588e58893b14,1957c8b6-05f9-48d0-9e06-69f66400e770,59ccd692-9fb1-4245-8cbd-588e58893b14,804a552e-59db-48aa-b03e-905da141bcf1,214.749726475704,"LINESTRING (-79.71030063 44.40902611, -79.71030063 44.40902611, -79.71163434 44.40734596)"
1615e5c0-3157-4f13-9e78-011638725e02,8A RVH/YONGE,0,66,Shirley Avenue - Anne at Edgehill Drive,22:00-24:00,370.0,370.0,549.0,84.0,Shirley Avenue,Anne at Edgehill Drive,0e3874e1-a56c-4024-bac5-097dcef58a5d - 282c8e25-accd-45a0-951b-91c5c5afae46,0e3874e1-a56c-4024-bac5-097dcef58a5d,282c8e25-accd-45a0-951b-91c5c5afae46,804a552e-59db-48aa-b03e-905da141bcf1,16996.693203460487,"LINESTRING (-79.71222054 44.39053543, -79.71222054 44.39053543, -79.6687874000542 44.4135832437028, -79.7193980049728 44.3987224637701, -79.6826986779391 44.4078580682193, -79.6949429628219 44.4187357675276, -79.70935615 44.38715706)"
1615e5c0-3157-4f13-9e78-011638725e02,8A RVH/YONGE,1,64,Bryne Drive - Essa at Fairview,0:00-6:00,553.0,553.0,639.5,126.0,Bryne Drive,Essa at Fairview,d90ac2b7-23c7-4d0c-8b16-2d99a0f99017 - 991d229a-e6f2-4535-9a25-fcbf840c1cb5,d90ac2b7-23c7-4d0c-8b16-2d99a0f99017,991d229a-e6f2-4535-9a25-fcbf840c1cb5,4dddeaeb-e8ab-4def-a444-9788a843a069,19342.560094148474,"LINESTRING (-79.69807715 44.3576689, -79.69807715 44.3576689, -79.7190587055122 44.335151424119, -79.6624962784348 44.4155104109949, -79.6960051176551 44.3663616100765, -79.697139692136 44.3642077961092)"
1615e5c0-3157-4f13-9e78-011638725e02,8A RVH/YONGE,1,16,Reid Drive - Hollyholme Farm Road,15:00-19:00,612.0,612.0,639.5,64.0,Reid Drive,Hollyholme Farm Road,2815b064-59fa-4c7c-adc3-bcb853c77440 - 0bb1eab2-1ba6-4d2c-b5f3-4b705085ef20,2815b064-59fa-4c7c-adc3-bcb853c77440,0bb1eab2-1ba6-4d2c-b5f3-4b705085ef20,743b5086-8f43-4c5d-b994-f6a493e5d39d,16069.929979265082,"LINESTRING (-79.70367789 44.33128177, -79.70367789 44.33128177, -79.6923506076545 44.3882672124068, -79.6972496627122 44.3618541575583, -79.7333803614009 44.3280100421912, -79.70874238 44.33016375)"
1615e5c0-3157-4f13-9e78-011638725e02,8A RVH/YONGE,1,64,Bryne Drive - Essa at Fairview,15:00-19:00,612.0,612.0,639.5,131.14285714285714,Bryne Drive,Essa at Fairview,d90ac2b7-23c7-4d0c-8b16-2d99a0f99017 - 991d229a-e6f2-4535-9a25-fcbf840c1cb5,d90ac2b7-23c7-4d0c-8b16-2d99a0f99017,991d229a-e6f2-4535-9a25-fcbf840c1cb5,4dddeaeb-e8ab-4def-a444-9788a843a069,19342.560094148474,"LINESTRING (-79.69807715 44.3576689, -79.69807715 44.3576689, -79.7190587055122 44.335151424119, -79.6624962784348 44.4155104109949, -79.6960051176551 44.3663616100765, -79.697139692136 44.3642077961092)"
1615e5c0-3157-4f13-9e78-011638725e02,8A RVH/YONGE,1,95,Eccles Street - Dunlop at High Street,15:00-19:00,612.0,612.0,639.5,30.5,Eccles Street,Dunlop at High Street,43c0ce97-c9cf-4313-a22c-6e089e8b978d - e9657706-8201-45b6-80a2-77ffb5620190,43c0ce97-c9cf-4313-a22c-6e089e8b978d,e9657706-8201-45b6-80a2-77ffb5620190,743b5086-8f43-4c5d-b994-f6a493e5d39d,8592.0320872351,"LINESTRING (-79.69723418 44.38605848, -79.69723418 44.38605848, -79.6606348252675 44.4154661545435, -79.6952929911192 44.3868067495112)"
1615e5c0-3157-4f13-9e78-011638725e02,8A RVH/YONGE,1,64,Bryne Drive - Essa at Fairview,19:00-22:00,553.0,553.0,639.5,126.0,Bryne Drive,Essa at Fairview,d90ac2b7-23c7-4d0c-8b16-2d99a0f99017 - 991d229a-e6f2-4535-9a25-fcbf840c1cb5,d90ac2b7-23c7-4d0c-8b16-2d99a0f99017,991d229a-e6f2-4535-9a25-fcbf840c1cb5,4dddeaeb-e8ab-4def-a444-9788a843a069,19342.560094148474,"LINESTRING (-79.69807715 44.3576689, -79.69807715 44.3576689, -79.7190587055122 44.335151424119, -79.6624962784348 44.4155104109949, -79.6960051176551 44.3663616100765, -79.697139692136 44.3642077961092)"
1615e5c0-3157-4f13-9e78-011638725e02,8A RVH/YONGE,1,16,Reid Drive - Hollyholme Farm Road,6:00-9:00,639.5,639.5,639.5,64.0,Reid Drive,Hollyholme Farm Road,2815b064-59fa-4c7c-adc3-bcb853c77440 - 0bb1eab2-1ba6-4d2c-b5f3-4b705085ef20,2815b064-59fa-4c7c-adc3-bcb853c77440,0bb1eab2-1ba6-4d2c-b5f3-4b705085ef20,743b5086-8f43-4c5d-b994-f6a493e5d39d,16069.929979265082,"LINESTRING (-79.70367789 44.33128177, -79.70367789 44.33128177, -79.6923506076545 44.3882672124068, -79.6972496627122 44.3618541575583, -79.7333803614009 44.3280100421912, -79.70874238 44.33016375)"
1615e5c0-3157-4f13-9e78-011638725e02,8A RVH/YONGE,1,64,Bryne Drive - Essa at Fairview,6:00-9:00,639.5,639.5,639.5,126.0,Bryne Drive,Essa at Fairview,d90ac2b7-23c7-4d0c-8b16-2d99a0f99017 - 991d229a-e6f2-4535-9a25-fcbf840c1cb5,d90ac2b7-23c7-4d0c-8b16-2d99a0f99017,991d229a-e6f2-4535-9a25-fcbf840c1cb5,4dddeaeb-e8ab-4def-a444-9788a843a069,19342.560094148474,"LINESTRING (-79.69807715 44.3576689, -79.69807715 44.3576689, -79.7190587055122 44.335151424119, -79.6624962784348 44.4155104109949, -79.6960051176551 44.3663616100765, -79.697139692136 44.3642077961092)"
1615e5c0-3157-4f13-9e78-011638725e02,8A RVH/YONGE,1,95,Eccles Street - Dunlop at High Street,6:00-9:00,639.5,639.5,639.5,29.0,Eccles Street,Dunlop at High Street,43c0ce97-c9cf-4313-a22c-6e089e8b978d - e9657706-8201-45b6-80a2-77ffb5620190,43c0ce97-c9cf-4313-a22c-6e089e8b978d,e9657706-8201-45b6-80a2-77ffb5620190,743b5086-8f43-4c5d-b994-f6a493e5d39d,8592.0320872351,"LINESTRING (-79.69723418 44.38605848, -79.69723418 44.38605848, -79.6606348252675 44.4154661545435, -79.6952929911192 44.3868067495112)"
1615e5c0-3157-4f13-9e78-011638725e02,8A RVH/YONGE,1,16,Reid Drive - Hollyholme Farm Road,9:00-15:00,582.7,582.7,639.5,64.0,Reid Drive,Hollyholme Farm Road,2815b064-59fa-4c7c-adc3-bcb853c77440 - 0bb1eab2-1ba6-4d2c-b5f3-4b705085ef20,2815b064-59fa-4c7c-adc3-bcb853c77440,0bb1eab2-1ba6-4d2c-b5f3-4b705085ef20,743b5086-8f43-4c5d-b994-f6a493e5d39d,16069.929979265082,"LINESTRING (-79.70367789 44.33128177, -79.70367789 44.33128177, -79.6923506076545 44.3882672124068, -79.6972496627122 44.3618541575583, -79.7333803614009 44.3280100421912, -79.70874238 44.33016375)"
1615e5c0-3157-4f13-9e78-011638725e02,8A RVH/YONGE,1,64,Bryne Drive - Essa at Fairview,9:00-15:00,582.7,582.7,639.5,129.91304347826087,Bryne Drive,Essa at Fairview,d90ac2b7-23c7-4d0c-8b16-2d99a0f99017 - 991d229a-e6f2-4535-9a25-fcbf840c1cb5,d90ac2b7-23c7-4d0c-8b16-2d99a0f99017,991d229a-e6f2-4535-9a25-fcbf840c1cb5,4dddeaeb-e8ab-4def-a444-9788a843a069,19342.560094148474,"LINESTRING (-79.69807715 44.3576689, -79.69807715 44.3576689, -79.7190587055122 44.335151424119, -79.6624962784348 44.4155104109949, -79.6960051176551 44.3663616100765, -79.697139692136 44.3642077961092)"
1615e5c0-3157-4f13-9e78-011638725e02,8A RVH/YONGE,1,95,Eccles Street - Dunlop at High Street,9:00-15:00,582.7,582.7,639.5,32.0,Eccles Street,Dunlop at High Street,43c0ce97-c9cf-4313-a22c-6e089e8b978d - e9657706-8201-45b6-80a2-77ffb5620190,43c0ce97-c9cf-4313-a22c-6e089e8b978d,e9657706-8201-45b6-80a2-77ffb5620190,743b5086-8f43-4c5d-b994-f6a493e5d39d,8592.0320872351,"LINESTRING (-79.69723418 44.38605848, -79.69723418 44.38605848, -79.6606348252675 44.4154661545435, -79.6952929911192 44.3868067495112)"
187049e4-1fe7-4675-999b-2dc12139a97e,3A BAYVIEW,0,25,Grand Forest Drive - Big Bay Point at Dodson,0:00-6:00,697.8,697.8,702.3478260869565,57.0,Grand Forest Drive,Big Bay Point at Dodson,f1375909-b390-4e61-a1d7-f46809a75e7a - bbed2b69-0bdf-443c-af42-c63af9a6a59b,f1375909-b390-4e61-a1d7-f46809a75e7a,bbed2b69-0bdf-443c-af42-c63af9a6a59b,dc410443-f59e-409f-80ad-e60c6eeab159,11233.138742814714,"LINESTRING (-79.63587599 44.35978883, -79.63587599 44.35978883, -79.6906071716909 44.3752236291899, -79.6979470370976 44.3845174839805, -79.641179 44.358631)"
187049e4-1fe7-4675-999b-2dc12139a97e,3A BAYVIEW,0,40,Mapleview at Huronia - Welham Road,0:00-6:00,28.0,697.8,28.0,70.0,Mapleview at Huronia,Welham Road,ffb24649-47b4-4fcb-bcb1-eb2c10100efc - bcac70cf-8db0-43de-8f07-d7c22cd10086,ffb24649-47b4-4fcb-bcb1-eb2c10100efc,bcac70cf-8db0-43de-8f07-d7c22cd10086,dc410443-f59e-409f-80ad-e60c6eeab159,544.4252172978514,"LINESTRING (-79.66309108 44.34055384, -79.66309108 44.34055384, -79.66958204 44.3390317)"
187049e4-1fe7-4675-999b-2dc12139a97e,3A BAYVIEW,0,71,Bayview at Little - Allandale Heights School,0:00-6:00,697.8,697.8,697.75,42.0,Bayview at Little,Allandale Heights School,31dadd6a-d850-4d4c-a78e-c9d19d69b9a1 - f35cf65e-bf06-4206-8e77-6d6fb6c5320c,31dadd6a-d850-4d4c-a78e-c9d19d69b9a1,f35cf65e-bf06-4206-8e77-6d6fb6c5320c,dc410443-f59e-409f-80ad-e60c6eeab159,11978.410763336678,"LINESTRING (-79.68353462 44.36257539, -79.68353462 44.36257539, -79.6105754143343 44.3522384376668, -79.6842543 44.36538192)"
187049e4-1fe7-4675-999b-2dc12139a97e,3A BAYVIEW,0,25,Grand Forest Drive - Big Bay Point at Dodson,15:00-19:00,573.0,573.0,702.3478260869565,57.0,Grand Forest Drive,Big Bay Point at Dodson,f1375909-b390-4e61-a1d7-f46809a75e7a - bbed2b69-0bdf-443c-af42-c63af9a6a59b,f1375909-b390-4e61-a1d7-f46809a75e7a,bbed2b69-0bdf-443c-af42-c63af9a6a59b,dc410443-f59e-409f-80ad-e60c6eeab159,11233.138742814714,"LINESTRING (-79.63587599 44.35978883, -79.63587599 44.35978883, -79.6906071716909 44.3752236291899, -79.6979470370976 44.3845174839805, -79.641179 44.358631)"
187049e4-1fe7-4675-999b-2dc12139a97e,3A BAYVIEW,0,40,Mapleview at Huronia - Welham Road,15:00-19:00,28.0,573.0,28.0,70.0,Mapleview at Huronia,Welham Road,ffb24649-47b4-4fcb-bcb1-eb2c10100efc - bcac70cf-8db0-43de-8f07-d7c22cd10086,ffb24649-47b4-4fcb-bcb1-eb2c10100efc,bcac70cf-8db0-43de-8f07-d7c22cd10086,dc410443-f59e-409f-80ad-e60c6eeab159,544.4252172978514,"LINESTRING (-79.66309108 44.34055384, -79.66309108 44.34055384, -79.66958204 44.3390317)"
187049e4-1fe7-4675-999b-2dc12139a97e,3A BAYVIEW,0,71,Bayview at Little - Allandale Heights School,15:00-19:00,573.0,573.0,697.75,44.0,Bayview at Little,Allandale Heights School,31dadd6a-d850-4d4c-a78e-c9d19d69b9a1 - f35cf65e-bf06-4206-8e77-6d6fb6c5320c,31dadd6a-d850-4d4c-a78e-c9d19d69b9a1,f35cf65e-bf06-4206-8e77-6d6fb6c5320c,dc410443-f59e-409f-80ad-e60c6eeab159,11978.410763336678,"LINESTRING (-79.68353462 44.36257539, -79.68353462 44.36257539, -79.6105754143343 44.3522384376668, -79.6842543 44.36538192)"
187049e4-1fe7-4675-999b-2dc12139a97e,3A BAYVIEW,0,25,Grand Forest Drive - Big Bay Point at Dodson,19:00-22:00,602.2,602.2,702.3478260869565,57.0,Grand Forest Drive,Big Bay Point at Dodson,f1375909-b390-4e61-a1d7-f46809a75e7a - bbed2b69-0bdf-443c-af42-c63af9a6a59b,f1375909-b390-4e61-a1d7-f46809a75e7a,bbed2b69-0bdf-443c-af42-c63af9a6a59b,dc410443-f59e-409f-80ad-e60c6eeab159,11233.138742814714,"LINESTRING (-79.63587599 44.35978883, -79.63587599 44.35978883, -79.6906071716909 44.3752236291899, -79.6979470370976 44.3845174839805, -79.641179 44.358631)"
187049e4-1fe7-4675-999b-2dc12139a97e,3A BAYVIEW,0,40,Mapleview at Huronia - Welham Road,19:00-22:00,28.0,602.2,28.0,70.0,Mapleview at Huronia,Welham Road,ffb24649-47b4-4fcb-bcb1-eb2c10100efc - bcac70cf-8db0-43de-8f07-d7c22cd10086,ffb24649-47b4-4fcb-bcb1-eb2c10100efc,bcac70cf-8db0-43de-8f07-d7c22cd10086,dc410443-f59e-409f-80ad-e60c6eeab159,544.4252172978514,"LINESTRING (-79.66309108 44.34055384, -79.66309108 44.34055384, -79.66958204 44.3390317)"
187049e4-1fe7-4675-999b-2dc12139a97e,3A BAYVIEW,0,71,Bayview at Little - Allandale Heights School,19:00-22:00,602.2,602.2,697.75,42.0,Bayview at Little,Allandale Heights School,31dadd6a-d850-4d4c-a78e-c9d19d69b9a1 - f35cf65e-bf06-4206-8e77-6d6fb6c5320c,31dadd6a-d850-4d4c-a78e-c9d19d69b9a1,f35cf65e-bf06-4206-8e77-6d6fb6c5320c,dc410443-f59e-409f-80ad-e60c6eeab159,11978.410763336678,"LINESTRING (-79.68353462 44.36257539, -79.68353462 44.36257539, -79.6105754143343 44.3522384376668, -79.6842543 44.36538192)"
187049e4-1fe7-4675-999b-2dc12139a97e,3A BAYVIEW,0,25,Grand Forest Drive - Big Bay Point at Dodson,22:00-24:00,588.0,588.0,702.3478260869565,57.0,Grand Forest Drive,Big Bay Point at Dodson,f1375909-b390-4e61-a1d7-f46809a75e7a - bbed2b69-0bdf-443c-af42-c63af9a6a59b,f1375909-b390-4e61-a1d7-f46809a75e7a,bbed2b69-0bdf-443c-af42-c63af9a6a59b,dc410443-f59e-409f-80ad-e60c6eeab159,11233.138742814714,"LINESTRING (-79.63587599 44.35978883, -79.63587599 44.35978883, -79.6906071716909 44.3752236291899, -79.6979470370976 44.3845174839805, -79.641179 44.358631)"
